产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
食用油脂及其制品-->食用植物油,美狮小磨香油,哈尔滨美狮实业有限公司,黑龙江市场监管局,合格,2015-02-04,,210ml/瓶,美狮,哈尔滨美狮实业,,哈尔滨美狮实业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476602
食用油脂及其制品-->食用植物油,美狮小磨香油,哈尔滨美狮实业有限公司,黑龙江市场监管局,合格,2015-02-04,,210ml/瓶,美狮,哈尔滨美狮实业有限公司,,哈尔滨美狮实业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476603
食用油脂及其制品-->食用植物油,古法冷榨大豆油,哈尔滨市中安制油,黑龙江市场监管局,合格,2015-02-04,,5L/桶,中安,哈尔滨市中安制油,,哈尔滨市中安制油,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476604
食用油脂及其制品-->食用植物油,纯香大豆油,益海嘉里（哈尔滨）粮油,黑龙江市场监管局,合格,2015-02-04,,5L/桶,金龙鱼,益海嘉里（哈尔滨）粮油食品有限公司,,益海嘉里（哈尔滨）粮油,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476605
食用油脂及其制品-->食用植物油,黄金比例食用,益海嘉里（哈尔滨）粮油,黑龙江市场监管局,合格,2015-02-04,,5L/桶,金龙鱼,益海嘉里（哈尔滨）粮油食品有限公司,,益海嘉里（哈尔滨）粮油,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476606
食用油脂及其制品-->食用植物油,稻米油,黑龙江万禾园油脂,黑龙江市场监管局,合格,2015-02-04,,5L/桶,稻园,黑龙江万禾园油脂,,黑龙江万禾园油脂,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476607
食用油脂及其制品-->食用植物油,稻米油,黑龙江万禾园油脂,黑龙江市场监管局,合格,2015-02-04,,750ml/瓶,稻园,黑龙江万禾园油脂,,黑龙江万禾园油脂,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476608
食用油脂及其制品-->食用植物油,稻米油,黑龙江万禾园油脂,黑龙江市场监管局,合格,2015-02-04,,5L/桶,稻园,黑龙江万禾园油脂,,黑龙江万禾园油脂,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476609
食用油脂及其制品-->食用植物油,大名府杨申,佳木斯市郊区大名府杨申香油加工厂,黑龙江市场监管局,合格,2015-02-04,,125g/瓶,杨申,佳木斯市郊区大名府杨申香油加工厂,,佳木斯市郊区大名府杨申香油加工厂,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476610
食用油脂及其制品-->食用植物油,大豆油,哈尔滨北大荒豆制品,黑龙江市场监管局,合格,2015-02-04,,5L/桶,北大荒,哈尔滨北大荒豆制品有限公司（分装）,,哈尔滨北大荒豆制品,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476611
